Subject,N_Experts,Top_K,Run,Best_Acc
A01,8,1,8,86.20689655172413
A01,8,1,9,89.65517241379311
A01,8,1,10,89.65517241379311
A03,8,1,1,96.55172413793103
A03,8,1,2,100.0
A03,8,1,3,100.0
A03,8,1,4,100.0
A03,8,1,5,96.55172413793103
A03,8,1,6,100.0
A03,8,1,7,100.0
A03,8,1,8,100.0
A03,8,1,9,100.0
A03,8,1,10,100.0
A04,8,1,1,86.20689655172413
A04,8,1,2,82.75862068965517
A04,8,1,3,86.20689655172413
A04,8,1,4,86.20689655172413
A04,8,1,5,82.75862068965517
A04,8,1,6,89.65517241379311
A04,8,1,7,86.20689655172413
A04,8,1,8,75.86206896551724
A04,8,1,9,86.20689655172413
A04,8,1,10,86.20689655172413
A01,8,2,1,86.20689655172413
A01,8,2,2,89.65517241379311
A01,8,2,3,93.10344827586206
A01,8,2,4,86.20689655172413
A01,8,2,5,93.10344827586206
A01,8,2,6,86.20689655172413
A01,8,2,7,89.65517241379311
A01,8,2,8,89.65517241379311
A01,8,2,9,86.20689655172413
A01,8,2,10,89.65517241379311
A03,8,2,1,96.55172413793103
A03,8,2,2,100.0
A03,8,2,3,100.0
A03,8,2,4,100.0
A03,8,2,5,100.0
A03,8,2,6,100.0
A03,8,2,7,100.0
A03,8,2,8,100.0
A03,8,2,9,100.0
A03,8,2,10,96.55172413793103
A04,8,2,1,79.3103448275862
A04,8,2,2,82.75862068965517
A04,8,2,3,82.75862068965517
A04,8,2,4,86.20689655172413
A04,8,2,5,86.20689655172413
A04,8,2,6,86.20689655172413
A04,8,2,7,82.75862068965517
A04,8,2,8,79.3103448275862
A04,8,2,9,86.20689655172413
A04,8,2,10,82.75862068965517
A01,8,4,1,89.65517241379311
A01,8,4,2,89.65517241379311
A01,8,4,3,89.65517241379311
A01,8,4,4,89.65517241379311
A01,8,4,5,89.65517241379311
A01,8,4,6,82.75862068965517
A01,8,4,7,86.20689655172413
A01,8,4,8,89.65517241379311
A01,8,4,9,86.20689655172413
A01,8,4,10,89.65517241379311
A03,8,4,1,96.55172413793103
A03,8,4,2,100.0
A03,8,4,3,100.0
A03,8,4,4,100.0
A03,8,4,5,96.55172413793103
A03,8,4,6,100.0
A03,8,4,7,100.0
A03,8,4,8,100.0
